portfolio,total_fees,taxes_owed,num_trades,num_trades_saved,end_price_HODL,end_price_rebalanced
OK-PIVX-AUR-BSD,1650.892601175766,25731.326630843647,528,0,17884.65392322262,52772.73499798487
BYC-ERC-AMP-XST,1519.6066790971124,18142.078196472205,624,0,23131.426719775678,54123.15291224609
GRS-IOC-RBY-DASH,2397.165743568483,30684.15638324716,620,0,66378.39998046476,87092.91751206516
VTC-SYS-DOPE-XMR,1821.5266987903642,31269.22213791957,556,0,25548.242442626542,71654.59389900415
ABY-ETH-NXT-DGB,905.2182997993141,15775.029448071662,474,40,15068.624924065127,34915.43695458325
AMP-VTC-EFL-RVR,1290.0123285505313,16711.680963432224,596,0,17600.979151890017,35934.95109894442
BYC-SBD-EMC-DMD,1525.2386143709218,19607.438626387026,562,0,17507.93343690012,47377.65081169935
RVR-NXS-LBC-XST,2820.2347683700536,36162.49461279901,636,0,22433.380566192413,69055.8566616171
ZCL-RBY-RVR-CLOAK,5970.233839939239,65808.29561550458,722,0,30471.330554579246,162669.89262033103
SLR-BCY-ETH-XRP,386.7876347251851,7070.886547350252,363,19,12056.272909812422,18166.71681265122
WAVES-XVG-FLO-MONA,3107.957321497284,44746.50294484988,584,0,84020.04510073291,113604.95857437958
FLO-XMR-TX-EXP,732.2604639767764,9665.651834556184,540,0,13341.154076246363,25568.15429410616
RDD-IOP-ZEC-PIVX,935.6363975832354,14098.858564402417,538,0,15200.998444111417,34844.689862103485
AUR-BRK-PPC-SPR,1003.9737194571484,11264.689598778643,564,0,9063.127652557552,27376.51299126196
DCR-BTC-XMY-ABY,678.4445379753749,14966.950274528332,377,103,18254.51934350312,38884.32142705433
VIA-NLG-ABY-STEEM,923.8925769526395,12264.928017288476,544,0,15469.614517283786,32159.19090726216
AEON-XMY-ZEC-RBY,1258.3053257059464,16744.420382494674,556,0,13265.243788763513,38189.53934543155
LBC-GRS-DASH-FLO,1638.7686523506782,22595.08692928065,580,0,66396.2861247752,73111.91804262603
IOC-ENRG-DASH-XLM,950.5728261196842,14618.65691738837,540,0,18414.615313825172,33036.88963968463
BURST-EBST-OK-NLG,3355.514807845414,41154.748553100704,674,0,18418.940409997096,88365.02800506851
REP-EBST-VTC-AEON,3431.337603367271,45541.30098101273,650,0,22894.475123915945,100942.44875745784
XST-NEOS-ENRG-XCP,1559.8394985027874,18991.55365042167,590,0,15632.051778546518,37949.55155657429
LSK-EBST-AEON-VRM,5803.700132552932,72476.14991851023,718,0,27654.8243982189,138714.4056367506
POT-DOGE-IOP-LTC,573.4409858863507,9015.550070734203,494,0,11582.040452421104,21515.068343129155
RDD-NXT-DASH-XCP,1227.8172532536807,20219.6115547737,530,0,17270.275946961727,37952.83142613512
ETC-DASH-MONA-LBC,854.7695753180733,13615.183077168114,464,0,27671.142871264856,32080.829963684573
VRM-SLR-XRP-ERC,1321.3119906232107,21450.84100846028,528,0,15483.845246964276,42261.72019666484
EXP-BRK-AUR-XMY,1160.5386671308916,15039.459216057581,512,0,10218.705342330444,28836.252532224058
VIA-SBD-STEEM-XCP,943.8172552743605,13191.367404276823,516,0,14616.097153157378,32281.2152750787
AEON-AMP-EXP-EMC,822.9448117660264,10611.486086512125,552,0,12679.586599333292,25279.056242752802
PIVX-DASH-PTC-CLAM,652.6256132836675,11491.275523188566,408,0,17607.633092683398,26901.178792526967
EXCL-IOC-XMY-BLK,1225.3020629644304,17808.8621541813,540,0,14159.339732755272,31918.34649411246
RDD-BLK-WAVES-XST,1359.8446588213703,22076.9108228358,530,0,22578.476924555653,51688.62855870088
ENRG-XMR-LBC-NXS,1037.064872762691,13661.62987665074,560,0,16162.399599602018,32037.14676916921
NAV-ETC-NEO-AEON,2495.3781061071086,38883.50939121019,582,0,108076.97581085608,96117.9746608038
XMR-DASH-DCR-ZEC,250.9292320928759,5302.683122836591,310,0,19906.874897222548,23737.378947913265
XRP-DOPE-LTC-VTC,1837.889355293494,32649.70296318704,540,0,24761.62104052215,71107.57048055484
STRAT-GRS-RDD-RBY,2803.378892773091,39683.45051421808,636,0,70002.95923165733,127529.27021572868
BLK-EFL-BURST-ZEC,490.00178778110063,7464.003460975103,446,0,11467.575231728577,21476.12935652877
RVR-ETC-SYS-SHIFT,1013.8788027935293,13685.80957281378,552,0,15126.083491755711,33540.47299024072
DOPE-AMP-EXP-GRC,806.6538167964674,9411.515606361678,518,0,9721.687370113399,20361.597388319493
BCY-RVR-BURST-VRM,1118.011351452255,15762.207330858753,542,0,12278.27915159044,27788.025868706987
BRK-EXP-IOP-RVR,1523.5206824852621,17954.37413741949,636,0,9093.168079199035,29515.064769954002
XLM-CURE-SPR-XMG,1950.1774706914441,25536.20184370524,636,0,19958.057023323687,61020.77787998729
ENRG-LSK-VRM-AUR,1420.297238889589,21648.97088090709,572,0,19966.7764865638,40953.603067928394
EFL-DCR-NAV-LBC,691.5052073451265,11019.484682009084,494,0,17417.207147742993,31575.73839116431
ZEC-AEON-XCP-NLG,630.0356128970074,7852.910766036922,534,0,11223.284821479781,20373.137828751194
CLAM-XMY-NEOS-PIVX,776.4960316862987,11029.94520186965,502,0,11176.250014308447,22147.39633054096
LBC-EGC-NXT-NEOS,1127.1199275305473,14309.038156451968,546,0,10969.753074497032,26198.486430271296
ERC-BSD-ENRG-EBST,2397.71130088009,30216.323430980334,612,0,18354.812811107073,70574.20372145351
DMD-RVR-IOC-PTC,2034.6789308772304,24923.108095374835,582,0,18335.240154594685,44609.32299314566
NAV-MONA-EXCL-AEON,3444.2476113114453,47947.18169450599,600,0,37160.17921669545,106766.9472401878
SYS-EFL-BLK-CLAM,499.4556167678759,7479.6337814705375,480,0,11524.626571831588,20529.17583842574
XCP-RDD-PPC-EFL,843.7098725078272,12953.204579905681,506,0,15074.099642747526,31450.844778734277
XCP-BURST-NEO-POT,1677.248102891624,28713.10427883194,552,0,103431.52358431694,57737.35809314209
AEON-CLAM-RBY-XMR,783.6460277746052,11446.26423969663,464,0,14776.800443811042,29066.754483531942
XMG-OK-BLK-XRP,1546.5325344807547,24625.426250456192,544,0,15929.325398206223,49415.29840311225
EMC-DASH-RDD-BYC,1259.8685895964422,19678.750715834423,544,0,22142.990196010174,53436.34020054427
PIVX-CURE-MONA-NLG,1303.9374451991437,20320.527547639558,512,0,30558.409910323906,49075.26923480124
IOC-BURST-BTC-TX,769.2096734554806,12971.533128156889,418,108,14153.765917548804,31625.891378598975
RBY-XMY-XVG-SYS,2817.7205713487915,42011.7710797322,600,0,69500.19779110845,96298.15436036114
BURST-SBD-DOPE-REP,1610.5576356127842,20699.905527498202,574,0,13654.832273360487,49471.81318181281
CLAM-ABY-XCP-EMC,688.0226258847593,9392.908601313897,538,0,10274.956688624756,21466.392548356544
ETH-DCR-POT-NEO,910.3593499198457,19768.87372547608,397,43,110296.87701030131,69020.06275788273
DOPE-ERC-PPC-SPR,1636.2016153461454,18676.964195127468,616,0,15303.209844345316,49222.28302100352
ERC-PIVX-DGB-CURE,1014.5498367400784,15487.551129927757,540,0,18179.4467246579,44156.008448901644
DGB-EBST-XLM-PPC,2050.6700955487913,30297.9563969041,602,0,22113.37183290212,77316.1725497116
XRP-DCR-SLR-DMD,770.6901847097655,12633.941916319283,506,0,18213.788323627035,34326.52984984336
BURST-ENRG-RDD-PIVX,904.5119516598569,13358.24761355686,522,0,17728.06962145179,35655.41966228951
LBC-STRAT-XMY-DCR,768.8980125621611,11409.57340605908,506,0,14890.459789248502,28294.27197045788
SBD-XRP-GRC-RDD,1004.0080495443295,14642.43967776983,518,0,14541.199218518275,34573.76647256658
EXP-EFL-XST-BLK,1053.5280538886443,14824.114675732248,510,0,17376.03830907051,34200.71336313396
DASH-AEON-OK-BTC,1285.0448776798555,25201.985808536538,413,109,21385.374354089166,55782.292014406805
RDD-NXS-DOGE-PIVX,1061.545094698687,16044.168147945393,524,0,20856.206885193424,42631.67981543729
REP-STRAT-DMD-DGB,741.2360252895745,10887.78561042488,506,0,14355.737007778605,29192.61453976784
BYC-BRK-SPR-DMD,1916.4354155115727,19321.10853909342,584,0,15906.70689760521,44010.41538035753
BCY-TX-NXT-RBY,910.0046088207755,12947.870716379979,522,0,10160.60375573609,25915.769824292198
REP-SBD-DCR-LBC,580.9991786484505,8000.067323270921,476,0,13068.56491904883,25381.20784247609
NEOS-CLAM-BSD-OK,1221.8643362138978,16850.617164256648,560,0,13953.459613808864,32933.90660526733
XMY-SYS-EGC-SHIFT,1544.4610703892217,22860.394107805285,580,0,18096.617711766186,51754.311393687625
VRM-AMP-SHIFT-ZEC,805.087661793377,9789.235453756464,550,0,12191.45273222493,24174.903107802926
SEQ-ETC-TX-DOPE,1765.6792919431011,25833.11168102249,592,0,18055.18921098713,52439.86942616195
ERC-RVR-STEEM-DGB,1277.367170435497,17846.889981833236,570,0,17695.607339647664,47951.22106968039
AEON-ENRG-DGB-REP,963.8667377932325,12725.314353172465,574,0,13429.340035613064,35278.774594598435
EFL-MONA-VIA-BRK,2164.51837852816,32508.883380260344,542,0,34143.456860351245,76293.19508513092
ZCL-AUR-XVG-SLR,5445.617016233839,63106.083634255694,660,0,68984.59547414083,152060.4133785001
XCP-SLR-XMG-ZEC,723.6189187152395,10737.467296988845,496,0,10328.33040213399,23029.021917125596
POT-XRP-LBC-IOP,664.6075813665979,8978.738765729704,564,0,7409.0673823655325,19167.260384291647
RDD-BURST-MONA-EFL,1799.7858297395103,28724.822936766766,516,0,35214.86109732951,75282.06600069089
EXCL-STRAT-ZEC-DMD,962.2228412662656,13063.254556621512,538,0,16715.957750160724,32601.75017191838
ETC-EGC-DOPE-XLM,1456.5630456624933,24396.721841443483,542,0,21679.422572222113,59434.6289261417
EXCL-SHIFT-WAVES-SYS,938.5451191772006,13674.639342838796,542,0,19279.87411901314,38257.71777008516
IOC-SBD-SLR-RVR,1444.7409329038894,16888.608479161285,574,0,9602.134488573605,30274.53943576751
NEO-GRS-BLK-NEOS,4842.5576287489475,69914.50040188897,652,0,157533.33809913223,199603.0888085373
ABY-VRM-RDD-AUR,1881.3000099907822,27379.166488045776,598,0,15469.59821995615,52482.62587355776
XST-NEOS-GRC-BURST,1124.000932122561,15291.062014413423,552,0,17902.487749881686,36355.76058408663
PPC-XVG-ABY-XMY,2377.2852818415563,36081.86983291235,572,0,67040.55359019442,70086.44417109381
PIVX-BRK-EXCL-RBY,1539.316031483816,20576.864413839274,570,0,16845.05281504936,44447.38782227406
IOP-SBD-CLAM-PTC,1160.581007063983,14231.960387914225,560,0,11116.139702186385,30448.234502286396
BTC-EXP-XST-ERC,1012.6773099159839,17207.062337951018,442,100,22869.169110953684,47340.17274174167
ENRG-XMY-XMR-SPR,1350.5361336474098,15653.489940272293,582,0,13598.699460617714,36949.85028392411
ZCL-LBC-EXP-EFL,1528.2793715382008,17471.266606034173,612,0,12520.431613615227,41268.73535116385
PIVX-XMG-BYC-DOPE,2141.176808567315,28513.72763819338,548,0,19516.024544077023,62889.18535164055
SYS-ZCL-SPR-XLM,3062.4494291916662,35088.40114827844,718,0,23049.527669085182,101454.22920276433
