date,BTC,ETH,XRP,LTC,DASH,XEM,ETC,XMR,GNT,XLM,REP,DOGE,ZEC,GNO,STRAT,STEEM,FCT,DCR,PIVX,WAVES,LSK,ARDR
1495584000,2176.76,162.277458,0.309252293,29.77590004,128.4327582,0.251023963,10.40415093,54.01834555,0.397236932,0.05333062,28.18566802,0.003308675,226.3127307,225.9429862,2.8733232,1.185964151,13.38689986,21.57508735,0.93383004,2.496047157,0.94036032,0.141859449
1495670400,2337.682,179.9476538,0.280685478,32.75052741,137.7262415,0.249173524,19.4027606,43.9484216,0.433195851,0.049231583,25.48447409,0.003319508,224.0408714,254.6085649,2.917333629,1.176274829,14.6105125,23.37677325,0.887898377,2.668908163,1.517038734,0.145216806
1495756800,2037.6279,152.4145669,0.216131191,24.47209447,106.2215628,0.184262691,14.11055283,35.65620611,0.35145006,0.035556607,20.83621237,0.002567411,196.6310924,199.7959564,2.390769191,0.961903003,10.90139077,19.45934644,1.185899438,2.081498029,0.984072394,0.110052283
1495843200,1871.999,136.18701,0.227635078,21.25177505,95.471949,0.157135596,12.26159345,32.62682721,0.309291675,0.034538382,18.69786297,0.002115359,167.281007,169.4942152,2.52791001,0.80518421,10.07953526,17.85673638,0.997775467,2.09662016,0.886260487,0.088377073
1495929600,1720,130.7544,0.1775384,19.24594,84.6414408,0.1633484,12.9334712,28.4659828,0.2753548,0.0275372,17.6884456,0.0019264,156.3478108,159.7366408,2.26008,0.688086,10.019,16.095416,0.90472,1.943428,0.8530684,0.0709156
1496016000,2028,159.6035797,0.2131428,22.55776848,102.3123769,0.18923268,15.00691608,34.36257396,0.45127056,0.03332004,19.16269368,0.00227136,182.52,196.6206637,2.94053916,0.88645908,11.68205064,18.77928,1.25287812,2.33639796,0.97309524,0.0842634
1496102400,2208.97,189.9713758,0.225359119,24.92679062,114.4044118,0.199138645,15.9438374,40.01637514,0.446697913,0.036138749,20.51028645,0.002562405,198.8514794,216.0777343,3.644756321,0.94099913,12.55878968,20.2907811,1.61257019,2.61539839,1.01391723,0.097879461
1496188800,2148,225.4705122,0.1989048,23.7354,119.291328,0.17873508,17.44150224,39.3378276,0.41314632,0.0303942,20.10528,0.00234132,224.3482252,254.5163482,5.8585626,0.91399548,11.3844,19.72942296,1.69696296,2.30076576,1.07404296,0.088068
1496275200,2152.111,213.3002622,0.232212777,24.25536703,129.0397147,0.187190615,15.69995104,39.59886392,0.409546723,0.032303186,20.76008051,0.00232428,217.3632325,244.2400645,4.854925684,0.90369293,11.62555298,20.68178671,1.4215554,2.777987921,1.125381884,0.09131407
1496361600,2286.084,209.2909902,0.320851889,26.11112565,131.1180735,0.217223702,15.33729183,41.71767246,0.436642044,0.041012347,22.42152324,0.002537553,234.6675056,239.0260619,5.71521,0.960132419,12.30128084,23.96899636,1.586336548,3.264093596,1.297558418,0.115241494
1496448000,2394.9,213.7604637,0.280849923,26.88562638,140.466034,0.215325459,15.97889254,42.65764746,0.460635066,0.039012921,23.6735386,0.002825982,228.9016681,247.3993488,8.351183943,1.269297,14.1000456,29.72284046,1.598691546,4.407597909,1.3291695,0.128749824
1496534400,2452.569,216.0634316,0.282535949,26.24744249,139.6470961,0.20741376,15.24519343,41.072658,0.441020958,0.037941242,25.26739592,0.00318834,216.9637942,255.4879142,8.981086947,1.248480249,15.39386816,34.335966,1.580435464,5.018201431,1.294956432,0.130354042
1496620800,2487.211,241.9558861,0.288516476,27.4458262,142.5077886,0.211412935,17.04505596,42.06836352,0.473167021,0.039422294,28.6029265,0.003109014,232.0248008,262.2796582,10.37977818,1.278774664,17.35416654,31.68706814,1.601515163,5.31036959,1.393236114,0.133662719
1496707200,2629.4,241.6387047,0.28213462,29.91815461,141.5008981,0.228652624,16.709837,47.32917371,0.501479168,0.040334996,27.91686568,0.00368116,246.1096313,253.4755273,10.21374654,1.6538926,24.18088269,34.30288946,1.511905,5.517743312,1.731170666,0.158473938
1496793600,2840,261.5442052,0.279882,29.6128504,144.84,0.2319996,17.035882,54.5012472,0.5217932,0.0441904,33.938,0.0036636,255.4549044,264.688,10.50516,2.598884,32.5347844,34.3639716,1.4579708,5.44712,2.0541436,0.1538712
1496880000,2621.003,248.0389596,0.266896735,27.73941146,137.0993725,0.203625723,16.56576115,51.65679772,0.513585538,0.046103443,33.28679052,0.003197624,259.0605918,243.6484389,9.268626699,2.07059237,27.2584312,32.10731296,1.49397171,5.1455793,2.225467437,0.136003846
1496966400,2787,256.557285,0.28421826,29.79130206,143.3253211,0.2159925,17.03994096,55.63367595,0.52955787,0.05011026,35.42480451,0.00340014,269.4148308,257.8349851,9.32240352,2.35086237,27.84681216,34.20805605,1.60227417,5.79565011,3.12578772,0.1527276
1497052800,2802.001,278.2041226,0.28025614,29.49635631,148.0325148,0.213316336,17.07920482,55.22743971,0.53294059,0.046737377,34.18438418,0.003334381,277.9620858,256.7075352,8.57415108,2.5227816,31.71865132,42.22615507,1.621770159,6.30455829,3.815849022,0.182662445
1497139200,2781.591,324.2096185,0.249230554,28.52299043,146.3116866,0.186644756,18.9148188,50.3467971,0.560434955,0.041000651,32.43335106,0.00305975,312.9336049,245.8961214,6.777568999,2.150448002,23.77453644,39.58203993,1.440140924,5.424130266,3.47698875,0.167396146
1497225600,2937.131348,334.7268845,0.270216084,33.18931989,184.9314235,0.213000765,21.55854409,58.13458202,0.56105083,0.044996852,33.46567458,0.003465815,324.4646063,267.6116709,8.587555263,2.401310476,27.17569031,40.54750946,1.656130882,6.253622581,3.847230867,0.179194384
1497312000,2599,391.955164,0.2409273,28.32561734,166.858399,0.19463911,19.09971313,49.52394499,0.49773449,0.03875109,31.0858593,0.00306682,302.6895981,265.0970643,7.280916569,2.0498313,24.80714312,33.05928,1.37858757,5.238804299,3.2989107,0.17727779
1497398400,2681.887,384.2178592,0.260143039,30.09672593,179.6934824,0.205513001,20.02253924,51.65282179,0.568077304,0.040952414,32.94810819,0.003164627,362.0547182,268.1344186,9.285148715,2.346624306,30.32345266,36.22456954,1.501803082,5.819238869,3.607138015,0.197547796
1497484800,2390,335.7949522,0.253818,28.1542717,156.5362287,0.1933749,17.2765691,45.4200619,0.48995,0.0382161,29.9970095,0.0027963,372.7524065,240.7843023,7.8631,1.93112,26.2926529,30.4321329,1.3546281,4.9473,3.2277189,0.211993
1497571200,2380,338.9120714,0.2424982,28.6094326,158.154689,0.189567,16.7687898,45.458,0.4973486,0.0361998,28.0835478,0.0027846,383.1793336,233.0245148,7.7835996,1.9992,26.4622442,30.0419308,1.396584,5.2359286,3.0227428,0.2110346
1497657600,2431.99,346.3154003,0.245752589,33.31823868,159.295345,0.184709641,16.89080287,47.46838338,0.533359727,0.03647985,28.36023795,0.002967028,374.2583088,233.5464074,7.840370961,2.016946587,27.44259948,31.69858198,1.677562382,5.003138468,3.026587235,0.206597551
1497744000,2612,365.0735458,0.25657676,45.6576294,179.1628264,0.20026204,21.57754916,52.211268,0.622962,0.039833,31.12077848,0.00321276,393.3364568,250.0455846,8.091976,2.13275024,35.7832246,33.4336,1.71676312,5.399004,3.23086116,0.20141132
1497830400,2519.836,354.7399418,0.265918293,43.5931628,189.7436508,0.194732926,20.27066951,50.14241815,0.574245426,0.038351904,30.11377888,0.002998605,373.067213,240.644338,7.500443043,2.013323765,31.62494973,42.83028245,1.763759208,5.048793806,3.138178556,0.211389042
1497916800,2585,357.296115,0.27951605,47.40882245,196.4218713,0.19741645,21.449813,50.46325845,0.70154315,0.04136,32.64686975,0.0029986,398.0900517,244.900496,7.92666985,2.1717102,34.71662755,41.3970689,1.83620305,5.29927585,3.2232365,0.28435
1498003200,2678,361.2617715,0.30049838,45.09752,187.3353659,0.20642024,20.45595656,50.77488,0.6772662,0.04078594,31.08137682,0.00310648,409.5515211,240.4844,7.54772876,2.16918,34.40153444,38.2954,1.85724656,5.4100956,3.35641774,0.27859234
1498089600,2630,329.276,0.2708637,43.658,178.5893347,0.1917533,19.092222,48.655,0.6290697,0.0386347,29.2418917,0.0029456,381.3527878,228.2963347,7.2982763,2.0776737,31.3562539,38.661,1.7499231,5.1285,3.1549743,0.26826
1498176000,2670,319.1985,0.275277,45.5394933,180.1043961,0.1895166,19.3306131,49.7394567,0.6016845,0.0392757,30.4412574,0.0030171,376.7904,223.7460267,7.6359063,2.1626733,34.1494068,45.4504755,1.7712513,5.2128813,3.3026298,0.2740488
1498262400,2668.469,322.8849892,0.29096986,45.12381079,184.3619615,0.192129768,19.61327383,50.70123122,0.635976217,0.039946981,31.03429447,0.00301537,374.0967519,229.4328032,8.538833953,2.188117895,32.66304789,46.70925496,1.89637418,5.176563013,3.317280553,0.263884899
1498348800,2515.02,297.6528936,0.272376666,41.48019971,174.542388,0.1760514,18.23263749,46.85854483,0.608383338,0.036216288,28.44993139,0.002791672,349.3443261,211.0135481,7.511207831,2.012091451,30.35953578,42.19335878,1.919488414,4.796470092,3.153080574,0.245818055
1498435200,2489.19,277.9276469,0.25638657,40.58499835,166.766744,0.16926492,18.53784425,45.05682819,0.54460988,0.032110551,26.95063437,0.002613649,314.6385944,199.7845799,6.999204009,1.927504276,27.61253489,38.20595501,1.768171225,4.54919386,2.939584039,0.245832404
1498521600,2398.5,252.151187,0.244647,37.75517226,160.93935,0.154055655,17.52830996,43.05916719,0.49145265,0.02916576,24.33340611,0.00254241,298.5256808,191.4543142,6.45206094,1.782445275,25.08238571,34.36786665,1.67895,3.8356812,2.719899,0.220254255
1498608000,2510,280.4441574,0.2578272,39.2815,173.943502,0.1626229,18.0218,43.3036244,0.5447202,0.028865,25.578908,0.0025602,321.663528,200.047,6.6676895,1.8401061,26.2924006,36.3399808,1.8071247,4.2710913,2.7174013,0.2155337
1498694400,2512.51,310.5234224,0.262708046,41.4253855,178.3823056,0.166730164,18.37649814,46.5065601,0.561194234,0.031456625,27.5119845,0.002663261,331.2884633,211.5737436,6.85412728,1.896342048,26.58238093,35.51684136,1.829961533,4.154008158,2.847176332,0.225824399
1498780800,2465.57,285.513006,0.249392406,39.00083006,172.5567874,0.158240283,17.47485065,43.92516509,0.500190186,0.028230777,26.33115344,0.002514881,311.629359,252.720925,6.4351377,1.71357115,24.54376312,33.3059551,1.814930733,3.83396135,2.603863821,0.205875095
1498867200,2418,276.8610242,0.24504012,39.0308724,174.9903215,0.155961,17.15612106,42.88405212,0.46863258,0.02625948,27.4655784,0.00244218,291.369,331.0215644,6.16556148,1.63679256,23.45232708,32.00223,2.18347818,3.5277411,2.45427,0.20877012
