,portfolio,total_fees,num_trades,num_trades_saved,end_price_HODL,end_price_rebalanced
807,ARDR-XLM-REP-DCR-GNT-BTC,1788.3393406086989,842,128,85816.54744645604,84812.84835454004
808,DOGE-XLM-LSK-LTC-DCR-ETH,2257.6588819244253,834,82,109349.975437141,136745.92960505182
809,DASH-STEEM-DCR-GNT-GNO-LTC,974.8559652658067,842,0,29883.037613313507,46058.34162761997
810,DCR-XMR-DASH-LTC-ETC-WAVES,825.6683214050049,746,0,33679.88151836692,48816.956469426805
811,DASH-XEM-XMR-STRAT-GNO-XLM,2478.078618079088,896,0,89675.87250028865,93499.93472210965
812,XLM-ETH-ARDR-XEM-GNT-LTC,2357.2558859886412,783,141,94110.89699361422,117445.38361083533
813,ETH-LTC-XEM-ZEC-GNT-FCT,903.2801821685458,704,90,28216.69144387592,46979.94948176669
814,XRP-ARDR-DOGE-LSK-GNT-BTC,1973.2733985402633,817,111,52496.39819235322,90124.25584304084
815,DOGE-ETC-ZEC-BTC-DCR-LSK,924.2773260406557,708,68,41446.53346543311,53232.77625493727
816,XLM-FCT-STRAT-REP-STEEM-DOGE,2536.5918885298847,960,0,93000.12429025516,104537.86482569324
817,ARDR-XEM-BTC-XRP-FCT-LSK,2466.5227274496037,802,108,52740.26505230163,96548.14288775637
818,DASH-DOGE-LSK-WAVES-XEM-FCT,1961.4699293679319,878,0,49305.41573107697,78634.71523489713
819,WAVES-XEM-LTC-DASH-ETC-XRP,1709.3645179577045,774,0,39260.590138779684,68305.99116262674
820,LSK-REP-XLM-XEM-ZEC-STRAT,3026.192576956727,904,0,101789.13250268262,116463.96611259664
821,DCR-DASH-DOGE-ETC-ZEC-XRP,1120.884745980585,800,0,31435.50739625441,49680.69548722922
822,GNT-DASH-XMR-WAVES-DOGE-ETC,960.9701214967079,824,0,32451.651876964643,49353.81636768339
823,XRP-BTC-STRAT-DCR-LSK-FCT,1662.5438258018307,855,81,49744.10905156706,76527.6284207424
824,XMR-FCT-GNT-ETC-DOGE-PIVX,901.4167345476861,882,0,25274.73495175701,41737.97300328353
825,WAVES-DASH-PIVX-XRP-XEM-DOGE,2067.2934217476113,876,0,40086.4844519389,77225.48110411986
826,STEEM-DCR-ETC-FCT-PIVX-XMR,1092.5459763709823,838,0,31895.06404701338,51690.48469883766
827,LSK-REP-LTC-XLM-PIVX-STRAT,2729.1099742444094,962,0,101822.11511097643,112305.09538369079
828,XRP-LTC-ZEC-DCR-DASH-STRAT,1305.1733707637727,836,0,34066.86137755219,56337.04174373512
829,LTC-XEM-ETC-GNO-ZEC-ARDR,1320.890744144173,842,0,25433.439586631703,42042.263366086554
830,FCT-ZEC-XEM-GNT-REP-LTC,1002.9772711767654,828,0,22640.500848548018,39506.0004870479
831,WAVES-BTC-GNO-LSK-STRAT-ZEC,1138.6913261610553,742,116,43924.82446444126,52988.6418006507
832,XEM-LSK-PIVX-STRAT-DOGE-ETC,1826.1495004338776,898,0,44405.54072026432,72146.9317924021
833,PIVX-REP-GNT-BTC-LTC-STRAT,753.3727893427961,738,128,24485.074481834527,40345.9729133185
834,ETC-WAVES-PIVX-BTC-ZEC-XLM,1410.5950520840404,748,134,87108.20469808867,77304.86584943089
835,STEEM-LSK-XMR-LTC-DCR-STRAT,1924.121945359848,888,0,55136.82783805392,93906.21713850803
836,STRAT-LTC-XMR-GNT-REP-DOGE,1162.5082012044534,882,0,30092.33349057946,50599.11250837248
837,XRP-STRAT-WAVES-PIVX-BTC-ZEC,1139.722270131829,682,110,36536.528892164926,58705.51036454535
838,DOGE-STRAT-XEM-XRP-STEEM-ETH,2702.925151360945,819,103,48263.05342000701,110191.28816620677
839,WAVES-FCT-XEM-DOGE-ARDR-DCR,2006.9337953434551,944,0,35775.690616099644,69312.65495865005
840,BTC-STEEM-XRP-REP-ARDR-FCT,1908.832959426504,790,106,39288.108315076905,70940.9392870907
841,STRAT-ETC-REP-XRP-DASH-DCR,1307.2208946643475,840,0,30212.448018703737,50136.71643163442
842,XRP-DCR-ARDR-LTC-FCT-BTC,1422.2722924887034,787,53,36312.37779159647,61634.27359950453
843,FCT-WAVES-ETH-GNO-XEM-DASH,1221.821081095353,784,60,31370.1447476793,48210.88975849256
844,REP-ARDR-ETH-ETC-DOGE-FCT,1198.983725126391,796,64,28321.239842150284,46453.97374118482
845,WAVES-XMR-DOGE-XRP-ETH-ZEC,1307.1008619391869,681,97,44057.11952911707,70535.79413071339
846,XLM-LSK-DCR-GNO-ARDR-XEM,3491.544304114144,1002,0,103886.78820226023,121359.39744461823
847,GNO-REP-FCT-PIVX-WAVES-LTC,972.8233598310645,860,0,24142.14173438497,34602.41853159815
848,WAVES-DOGE-STRAT-DCR-BTC-ETC,1006.5303343906955,746,76,33024.99532153013,53545.531849463
849,DASH-ETH-LTC-STEEM-GNO-FCT,1030.5283486024682,746,74,33260.12681778594,47877.754016542065
850,XLM-ARDR-GNT-GNO-LTC-FCT,1924.8491519339752,990,0,84432.72596140765,73249.69318641572
851,ETH-XLM-STRAT-GNO-PIVX-ETC,1507.7869329950377,816,120,84918.34911340165,70850.46681209636
852,BTC-DASH-STEEM-LSK-PIVX-GNO,1289.1088704869276,768,110,45327.249594669236,59533.45168953258
853,XRP-ARDR-WAVES-ETH-STEEM-STRAT,2391.944016380434,765,133,51436.62184442207,104668.6746702833
854,DOGE-ARDR-STEEM-BTC-GNO-STRAT,1677.9012483157226,842,90,36242.17428402267,62303.06652035688
855,ZEC-ETC-XEM-ARDR-GNO-LTC,1320.890744144171,842,0,25433.439586631703,42042.26336608652
856,WAVES-STEEM-XRP-ZEC-ETC-DASH,1705.0432167522908,852,0,40974.856957465316,65937.8865757811
857,ETH-PIVX-STRAT-XEM-STEEM-DCR,1618.5079989873311,766,124,38334.52946177897,77165.9239029566
858,REP-XMR-LSK-ETH-ETC-XLM,2077.7798458142815,745,121,104872.79055354725,107912.19671093003
859,STRAT-LTC-WAVES-XEM-DCR-ARDR,1973.246813809163,902,0,38033.14275473076,73884.9950461224
860,ETH-GNO-DOGE-WAVES-FCT-STEEM,1373.0041936406615,823,53,38308.59155115068,58525.37776700343
861,PIVX-STRAT-XMR-STEEM-GNT-BTC,1088.2603179956664,748,138,35322.004656055185,60823.05975682657
862,DCR-STRAT-DASH-XEM-LTC-XLM,2467.742043214018,924,0,91341.21541837268,109398.76544350917
863,REP-GNT-GNO-DASH-LSK-XEM,1312.7312587059566,866,0,37043.74120889032,47227.578863842835
864,WAVES-BTC-REP-ETC-ZEC-STEEM,981.9108243270723,636,122,32561.71777442594,48382.94168256133
865,XLM-GNO-PIVX-XMR-DASH-XRP,2102.3960056048536,896,0,91934.98756617199,85497.42920727734
866,XLM-DOGE-LTC-FCT-ZEC-GNT,1588.4613212719914,900,0,85357.15605478782,76582.15734848972
867,FCT-ETC-ARDR-XMR-PIVX-XRP,1595.7554733335373,846,0,34138.453320623215,59092.58912117519
868,ETC-DOGE-DASH-GNO-XRP-XEM,1538.3047835876368,842,0,31878.250604246525,53190.37959555265
869,XEM-XMR-WAVES-XLM-XRP-BTC,2477.28916320516,708,142,103669.1717451282,143940.09646267505
870,STRAT-STEEM-WAVES-DCR-PIVX-XEM,1903.6973892323424,892,0,39715.449522612056,78188.71471807221
871,STEEM-ZEC-XEM-DCR-GNT-BTC,1140.3748287093515,766,98,32472.78550192208,59203.45699148647
872,STRAT-XEM-ZEC-DOGE-XMR-XLM,2600.5542127474973,888,0,93078.37380053592,111448.13328264041
873,PIVX-DCR-XLM-LSK-STRAT-XEM,3050.7646277957133,952,0,104658.5749802108,134117.20525385637
874,GNT-STEEM-PIVX-WAVES-DCR-ETC,1199.4638189804045,940,0,33190.0764432896,56105.84594591515
875,REP-ETH-LTC-BTC-XRP-STRAT,991.5801208970826,556,204,37342.93446551847,59493.17896410994
876,LTC-BTC-REP-LSK-WAVES-ARDR,1449.093029673851,704,120,49118.636438524874,69216.9508507046
877,DOGE-XLM-STEEM-GNO-XEM-LSK,3633.5916184174857,974,0,110225.97001862589,147092.44749887308
