portfolio,total_fees,num_trades,num_trades_saved,end_price_HODL,end_price_rebalanced
RDD-IOC-AMP-XVG-GRS-BLK-ENRG-NXT-ABY-PPC,2142.2336577618807,1626,0,55560.99546280216,71221.84256388505
EXP-VIA-DGB-BURST-ZEC-WAVES-SYS-FLO-STEEM-BTC,579.5557891130896,1193,117,14706.30996463165,27222.103958684515
DOGE-ZCL-DMD-BLK-XLM-POT-GRC-VTC-XCP-NEO,2179.791642012244,1666,0,54533.19755930722,71858.74360454251
AEON-RBY-VRM-DOPE-FLO-NEO-ENRG-RDD-SBD-NXS,4416.618755484283,1814,0,53090.37713709959,126001.42354151493
FLO-XST-LTC-EXCL-EGC-NAV-EXP-LBC-ERC-BYC,1668.5985396349122,1562,0,20036.501447011382,52700.004446062114
XVG-VIA-DGB-MONA-WAVES-IOP-PPC-LBC-RBY-SPR,1998.891584254853,1678,0,40197.1541266845,62516.76978143809
GRC-SEQ-BLK-OK-CLAM-XLM-EFL-BSD-XRP-ABY,1375.1576552696363,1492,0,17473.24807844916,45657.33028980567
GRS-SYS-XMR-EMC-CURE-NLG-EXP-LSK-BLK-ENRG,1403.3278509792551,1490,0,38860.90548798051,54670.35372830283
SYS-PPC-IOC-WAVES-XMY-EXCL-SLR-CURE-BTC-POT,858.4346901919098,1307,111,13792.426274108715,30110.799466210723
SBD-RVR-CLAM-ETH-POT-ABY-AEON-IOC-DOPE-BYC,1702.355853735973,1580,0,13500.66661375413,43695.80461192182
SYS-CURE-BSD-XMG-EBST-NLG-RDD-EFL-PIVX-SEQ,2373.544498140094,1558,0,19538.304681218066,77406.39213167763
PPC-IOP-GRC-ABY-EBST-VIA-ERC-XVG-XMR-DOGE,2321.3062305086273,1616,0,37276.35085436506,73765.8605461962
CURE-BSD-EMC-STEEM-LBC-DGB-SYS-PPC-IOP-ZEC,949.8186322503856,1538,0,13084.158872826029,35099.14788130663
LTC-EGC-EXCL-NEO-XST-NAV-PIVX-EBST-BCY-IOP,4085.9651227415407,1698,0,56992.49502852968,127723.30146333628
ZEC-FLO-MONA-CLOAK-BCY-PIVX-ERC-SBD-EGC-LSK,1839.232233944216,1568,0,29609.317609693546,64969.07064880899
XMG-XVG-DGB-XLM-ZCL-XCP-EFL-XRP-FLO-NLG,2423.857301842848,1668,0,38578.20870728817,80501.21387200766
NEOS-XMY-VRM-IOP-REP-IOC-NXT-RVR-NEO-POT,2422.016979440075,1614,0,47839.854108784835,57009.23271614847
NEOS-BSD-OK-XCP-DASH-DOGE-AMP-VIA-VTC-DOPE,1718.4541807559258,1596,0,17393.648654115434,47501.93482627885
EXCL-TX-BCY-SEQ-XLM-SHIFT-RVR-IOP-NAV-DCR,1859.69522054489,1668,0,20388.014296560985,58021.14099911008
GRC-NXS-DMD-XST-XRP-ETH-BYC-DASH-XMR-SHIFT,1509.8003352168614,1455,15,21783.471872767263,53382.27096891231
WAVES-IOP-BTC-XMY-XRP-RBY-SEQ-SPR-LTC-LBC,1296.0917547973988,1487,103,14275.887334325344,39948.37864392681
XVG-PPC-ZCL-EFL-ERC-WAVES-SPR-RVR-AMP-XRP,2316.6932845000456,1730,0,35728.84930507638,70975.67223377092
LSK-XMY-STEEM-XRP-XMR-LBC-AMP-BSD-SHIFT-PPC,1101.208350913199,1428,0,17958.178930033908,37213.8725108896
CLOAK-LSK-OK-DCR-SLR-ETH-XCP-SPR-SHIFT-XMY,2105.7372619730536,1642,0,26118.81932583901,67274.80657520864
DOPE-DOGE-TX-EXP-BRK-XST-RVR-ETC-XMR-IOP,2114.9065312633093,1706,0,15396.624571048145,55867.9473223632
OK-AUR-VTC-SYS-STEEM-LTC-EXCL-PTC-XMR-REP,1539.3995837427813,1476,0,22619.122071159756,59891.50340207289
BCY-PIVX-EMC-LSK-SYS-PTC-ENRG-VRM-STEEM-CURE,1288.2354412282464,1462,0,19585.078868829856,44297.25547447557
ZEC-IOC-BLK-EFL-POT-RDD-GRS-BYC-NEOS-REP,1347.1789534165127,1540,0,34439.234285794075,48582.91188659874
NEOS-EXP-NXT-SYS-PIVX-SHIFT-SPR-STRAT-AEON-NXS,1460.6612325448846,1634,0,14838.582091860622,40535.372812530746
ZEC-SBD-LSK-PPC-EXP-NAV-DOGE-NXT-VIA-RDD,1018.098979326251,1366,0,17871.45923426583,36323.4284223153
NXS-LTC-XLM-SBD-DCR-EXCL-CURE-ERC-XVG-BRK,2800.5009996684425,1650,0,44587.60945076896,106509.02903587885
XRP-DASH-DOPE-LSK-RVR-BLK-FLO-BURST-CURE-VTC,1687.418799439225,1504,0,20030.356034227767,53672.43425756172
LSK-IOC-SEQ-AEON-LTC-SYS-DOGE-PIVX-CURE-PPC,1166.8312097832543,1414,0,20704.4361825851,41682.23248867376
BURST-MONA-SYS-XMR-GRC-NEOS-VTC-ERC-SBD-NAV,1592.682736774546,1484,0,24169.345430119174,57136.38720202748
ZCL-SYS-STRAT-GRS-NXS-PTC-XCP-RVR-XMG-TX,4297.5213631504175,1882,0,39326.431643248936,134744.14359129404
EXP-XLM-SEQ-SBD-VRM-NXS-SLR-PIVX-FLO-POT,1596.8688797501677,1614,0,16979.474547104794,46110.329214530764
BLK-EXP-BCY-STEEM-FLO-AMP-NXT-AEON-REP-NAV,757.4096168510912,1404,0,11373.581896065476,24642.271523684685
BCY-OK-BLK-WAVES-BYC-XMG-VTC-POT-RVR-CURE,1397.4961783508577,1466,0,15784.428738733408,39821.14444574068
STRAT-RBY-XCP-ZEC-POT-VRM-NXS-SEQ-EGC-BLK,1272.7978673804942,1552,0,13663.97604386042,35737.46907980238
IOC-NEO-DOGE-XMY-DGB-ZCL-EFL-EGC-BCY-ZEC,1981.3444365868788,1638,0,49989.08258225033,65333.17481323255
EGC-ABY-REP-MONA-BTC-NEO-LBC-ETC-NXT-GRC,1547.9892772549429,1388,96,55733.3054587237,56512.89475788106
