,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,trade_id,rebalance_id,date,side,ticker1,ticker2,quantity,dollar_value,fees
0,0.0,0.0,0.0,0.0,0.0,0,0,2018-10-06 16:52:41.822437,buy,BTC,USD,0.17592165,1161.7144487235,8.71285836542625
1,1.0,1.0,1.0,1.0,1.0,0,0,2018-10-06 16:52:41.824430,buy,ETH,USD,5.20126951,1173.2609261608338,8.799456946206254
2,2.0,2.0,2.0,2.0,2.0,0,0,2018-10-06 16:52:41.825430,buy,BNB,USD,110.87482534,1161.297831345802,8.709733735093515
3,3.0,3.0,3.0,3.0,3.0,0,0,2018-10-06 16:52:41.827422,buy,OMG,USD,334.31,1156.8065945996002,8.676049459497001
4,4.0,4.0,4.0,4.0,4.0,0,0,2018-10-06 16:52:41.828420,buy,GNT,USD,7683.5,1173.5857554844501,8.801893166133373
5,5.0,5.0,5.0,5.0,5.0,0,0,2018-10-06 16:52:41.830415,buy,BAT,USD,6552.0,1143.1067867856002,8.573300900892
6,6.0,6.0,6.0,6.0,6.0,0,0,2018-10-06 16:52:41.831414,buy,XRP,USD,2402.719,1161.5916747121844,8.711937560341381
7,7.0,7.0,7.0,7.0,7.0,1,1,2018-10-06 16:52:42.007275,sell,GNT,BTC,78.31768000000002,11.962323635138855,0.08971742726354141
8,8.0,8.0,8.0,8.0,8.0,1,1,2018-10-06 16:52:42.454653,buy,BAT,BTC,68.56503000000001,11.962324653412436,0.08971743490059325
9,9.0,9.0,9.0,9.0,9.0,2,1,2018-10-06 16:52:44.207265,buy,BAT,BTC,105.28815,18.36901346990127,0.1377676010242595
10,10.0,10.0,,,,3,2,2018-10-06 18:41:24.362280,sell,XRP,BTC,25.09121,12.255151923109588,0.09191363942332187
11,11.0,11.0,,,,3,2,2018-10-06 18:41:24.536830,buy,OMG,BTC,3.5657400000000004,12.255134452250399,0.091913508391878
12,12.0,12.0,,,,4,2,2018-10-06 18:41:26.305175,buy,OMG,BTC,3.54555,12.185743199777999,0.091393073998335
13,13.0,,,,,5,3,2018-10-07 13:13:02.242814,sell,OMG,BTC,4.93423,17.147286835542502,0.12860465126656875
14,14.0,,,,,5,3,2018-10-07 13:13:02.423328,buy,XRP,BTC,36.11582,17.147285714520002,0.1286046428589
15,15.0,,,,,6,3,2018-10-07 13:13:04.123778,buy,OMG,BTC,36.10137,125.41767455449892,0.940632559158742
16,16.0,,,,,7,3,2018-10-07 13:13:06.125394,buy,XRP,BTC,51.87737,24.6226557276504,0.18466991795737803
17,17.0,,,,,8,3,2018-10-07 13:13:08.390377,buy,GNT,ETH,82.54449,12.50439138624022,0.09378293539680163
18,,,,,,9,4,2018-10-07 23:13:29.774036,sell,GNT,ETH,69.51701,10.82846019817359,0.08121345148630192
