portfolio,total_fees,taxes_owed,num_trades,num_trades_saved,end_price_HODL,end_price_rebalanced
POT-XMG-LBC-SHIFT-IOP-BURST-VRM-ENRG-EMC-XMY,1744.2801131440706,24288.846964445205,1660,0,12581.590148323789,47560.951440395045
BSD-ERC-TX-PPC-GRS-LTC-AEON-STEEM-SBD-PIVX,2213.7507074964237,32599.917545366217,1614,0,38946.6674753608,90155.85957282918
XCP-DGB-NXT-OK-STEEM-ENRG-NEO-EMC-TX-POT,2187.8842343312917,32763.58830163903,1678,0,51221.169088282964,70603.56585828282
WAVES-LTC-EXP-ZEC-GRC-XVG-XST-EGC-FLO-RDD,1624.3325651060159,22671.918005214637,1498,0,39423.066558607505,58364.55915506069
AUR-BLK-ETH-SYS-LBC-BSD-REP-PPC-VIA-LSK,804.8184712516443,12038.070862959048,1358,8,17681.31774799399,33077.02832508553
XVG-CLOAK-EXCL-STEEM-IOC-CLAM-ERC-EXP-BCY-EBST,2566.186202502773,33353.341638996404,1620,0,42282.70914849457,78636.01257823333
ERC-GRC-EBST-DOPE-DASH-EXCL-SEQ-TX-POT-XMR,2527.598877061619,36485.39144099293,1596,0,19795.613159665547,78098.38874673175
TX-BLK-EFL-EGC-DOPE-CLOAK-FLO-AMP-MONA-SLR,2291.919819398488,30820.550936028296,1680,0,25437.735044730638,72096.53230578025
DMD-XRP-DOPE-ENRG-NAV-BLK-RVR-XMY-RDD-VTC,2516.658624298842,34961.51119621892,1632,0,18677.291031965207,69097.10734886036
RBY-ERC-ENRG-RDD-DASH-IOP-ETC-SBD-AUR-CURE,1325.6402262452411,18995.727537129867,1516,0,12559.60720894164,43980.99659276474
ABY-BSD-VRM-VTC-AEON-AUR-MONA-BRK-DASH-SLR,2516.502044856181,37594.112497376875,1626,0,22902.979761789848,71573.9063497522
NLG-BURST-SHIFT-BLK-REP-RVR-VRM-XRP-PPC-AEON,1277.0325319006997,17018.581422022948,1544,0,13406.893448014887,39558.21507416671
ENRG-CURE-NXT-ABY-EXP-IOP-CLAM-XMY-PTC-XRP,1404.587746700817,19693.984208357615,1548,0,11577.916780329017,37118.69327311853
BYC-ENRG-POT-BSD-STRAT-XMY-VTC-EGC-SBD-BTC,1413.781864822891,21684.446475949433,1416,100,15845.924080284474,47130.88997396354
STRAT-BCY-XRP-IOC-AEON-NXS-RBY-LTC-GRC-TX,1116.9850392880799,15049.19092861163,1488,0,14049.59312257097,35265.36538347044
MONA-NEOS-ETH-AUR-PPC-VIA-SYS-EFL-AMP-CLAM,881.1516723183406,12265.43718758216,1398,0,19459.397980845242,32746.912426429946
ABY-IOC-NLG-MONA-XMR-XLM-BYC-STRAT-NXT-NAV,1526.8704530475436,21419.698726811133,1494,0,23770.752906288624,50504.71489955307
XVG-BLK-VRM-XMY-EXP-IOP-STRAT-NLG-FLO-ETC,1431.7472476242574,19364.10207864271,1616,0,31471.419537287402,41946.91111482526
BURST-LSK-XMR-ENRG-DCR-WAVES-BCY-EBST-IOC-DMD,1326.132224345324,18347.782120068332,1482,0,19418.95420220547,44806.50476439843
ERC-XLM-NEOS-GRS-TX-EBST-ETC-LSK-DOPE-XVG,6146.092907638151,88423.0493999066,1864,0,65518.6652799981,224968.29746276417
EXCL-XVG-IOP-DGB-EMC-RBY-ERC-NEOS-XMY-VTC,2591.118163654796,38099.91851600396,1684,0,39020.96917900476,85186.43447400598
EMC-VTC-XRP-DGB-XST-PPC-DASH-DMD-NLG-RDD,1532.3192926830181,24123.036942222836,1488,0,21289.243120946056,58546.9903060091
