,hodl,hourly,daily,weekly,monthly
EXCL-STRAT-GAME-BRK-GNT,3251.8443345706914,17497.439524808808,9064.680707102656,5489.400799475129,3822.188168453349
DTB-ARDR-EXCL-PAY-SYNX,3333.01639301882,26221.213187238114,11674.488306645131,9003.73850596062,4141.365725857131
SBD-2GIVE-PART-OMG-WAX,3126.239279493422,8474.444256210021,6016.901932292188,5885.306631918817,3791.125085838631
ENG-BRK-BKX-ETC-DNT,2737.0593827929274,9204.099765411316,6656.7177943718725,4655.8781315487095,3176.458087814964
GAME-REP-FLDC-WAX-WINGS,2688.474750238859,7204.4696691096815,5316.823540144185,4710.58121684024,4521.443439813773
KORE-MET-BITB-PART-AID,2954.657657636761,25055.388584866738,13666.458362438674,8768.915405262329,4080.897342822947
SPHR-ADA-GAM-PAL-LSK,3100.7352616693684,14206.592686538608,6479.8708535513915,5526.73918983075,3912.776146047951
PMA-CVC-PINK-ADX-SNT,3230.4082546584473,4469039.6257786965,17582.524774557744,5028.423493413785,3965.553552563045
GEO-GRC-DOGE-LRC-KORE,3134.6452667206486,13434.145560153835,8329.80109327328,6133.702100664084,4549.927416412554
BCHABC-POLY-MORE-VIA-BKX,2327.7999310000496,9896.479981923241,7137.902194167992,6098.04181379352,3020.4000339669647
VRC-BCPT-ETC-GBYTE-VEE,2864.0377035096367,8477.474432059884,5830.882553512927,4914.081478903856,3696.882840306667
HYDRO-SC-POLY-BLT-GO,2383.9792899139024,6878.472547386814,4330.3353225020255,3370.972649013574,3725.5500885521815
ARK-ZRX-XWC-MLN-EBST,2715.2953947178507,5095.780990952648,3977.718116005296,3557.6279485204595,2997.941662992112
RFR-GUP-MFT-EBST-NLG,2796.6912441645472,6034.82427411861,5930.21419258787,6046.652531106527,3876.440401011789
VEE-XVG-WAX-MORE-DOPE,2703.43917519985,8916.259636147379,5600.7423254479545,4940.953415373486,3973.1856964288936
MLN-SYS-PINK-BAT-GNT,2885.1435087777186,6206.135849062321,5191.271065815254,4891.960739974909,3832.054337923148
GEO-GOLOS-XCP-ENJ-NMR,3725.684381341028,11387.361138777134,7953.001633998688,6269.000045424926,4687.8287222631625
ZEC-DASH-ZEN-UKG-ETH,2273.943530240022,4254.4819439322055,3967.8000871107506,3036.020281668704,2794.4388001943953
BFT-CANN-GBG-UBQ-PTOY,2578.065211882564,6597.701234149152,4456.952097475287,3920.670762306918,3049.3756604578853
