portfolio,total_fees,num_trades,num_trades_saved,end_price_HODL,end_price_rebalanced
FCT-OMG,306.5925356557434,168,0,15734.397356057882,20603.51220727445
XRP-FCT,286.33597969099685,162,0,8417.25942808461,16739.862925618298
SC-QTUM,148.5977188688186,156,0,6828.9981095165695,4429.569091834536
GNT-BTC,98.22480257963375,53,53,10710.20790137847,12790.319123120564
STEEM-BTC,60.74905083154691,50,50,10288.509490768283,8734.571460677358
DOGE-STEEM,285.746436388872,162,0,7756.245753580887,8542.681923593518
GNO-NEO,246.98458051309984,148,0,12396.126690966299,11670.914715929299
BAT-QTUM,262.6161122901641,144,0,11396.808063643977,8214.605987128054
QTUM-ETC,309.53875431908995,148,0,6631.763861122707,13838.305436291488
BTC-DCR,62.10014717060858,63,63,13497.141760259768,6747.571754052045
FCT-ETH,182.42958364647455,89,89,7385.169407023105,20505.58748492832
WAVES-DGB,561.9926554909287,142,0,8793.384607149468,20242.412827525826
PIVX-STEEM,268.85519801713554,122,0,5608.0170279540625,6787.362053304556
STEEM-ETC,199.1785332616896,116,0,5917.912990577973,11040.669543167962
DCR-DASH,193.91884443881108,138,0,9512.16277111754,5500.048353645668
NEO-XMR,399.8177674576503,162,0,20077.743069773394,16806.058077556685
XRP-DGB,391.8101001061824,124,0,13382.26163221144,23202.729288178445
PIVX-ZEC,556.2840558085209,164,0,5907.12393884515,9822.677220524998
XRP-GNO,406.498902932897,154,0,7805.686608187359,15985.842009478185
LSK-XRP,234.11470258979338,166,0,14104.190314126077,11209.66940060392
XEM-STEEM,131.03785662775766,126,0,5546.139236689544,6758.4748032265215
GBYTE-QTUM,204.83441203218803,146,0,4295.932372878343,11136.36739117076
DASH-BAT,275.4721709742216,126,0,11361.883161342872,7947.796056253948
LTC-STEEM,149.4527367929746,106,0,8069.0632123568985,7164.86502093986
QTUM-REP,288.7237148685079,180,0,8000.792933123684,11006.491016667163
XRP-SNT,789.1072709536815,174,0,10430.882192569556,48777.96156763589
BTC-GNT,98.22480257963375,53,53,10710.20790137847,12790.319123120564
ETH-ETC,201.53616530971362,56,56,9106.126884450689,20409.462794044466
PIVX-DOGE,402.59394314630094,154,0,7739.658248152522,9673.825616090206
OMG-GNO,410.48544925375194,180,0,15122.824536160624,20100.202808607566
ETH-LSK,370.5591661101398,196,0,13072.10029306457,14092.501880095937
LSK-DCR,154.54265889282215,164,0,13092.518668683335,5636.6997629587095
DGB-QTUM,508.3358196107668,158,0,9875.808587821952,19349.071595026173
XRP-BTC,56.24289549604785,37,37,14508.813405702505,12304.725203854101
WAVES-QTUM,286.42075229717517,132,0,5969.88229379941,9406.47272361115
FCT-LTC,287.5914839123577,180,0,6641.414192124859,13993.729210724503
GNO-XMR,787.4810063270209,154,0,9227.77723193094,26552.84369854698
LSK-FCT,271.2252738793295,198,0,8456.237378959815,13437.70563721957
GNO-GBYTE,328.05941386685987,162,0,1542.8596622043185,16921.98790809964
DASH-DCR,193.91884443881108,138,0,9512.16277111754,5500.048353645668
ETC-XEM,160.73007207693178,108,0,5839.447693885089,12244.71994331778
ETH-OMG,228.54681150534415,84,84,20350.26027016264,21704.490971437728
PIVX-XEM,268.98636244475625,158,0,5529.551731261179,8320.821426251541
ZEC-PIVX,556.2840558085209,164,0,5907.12393884515,9822.677220524998
LTC-XLM,174.48286913761692,174,0,53349.397416409716,4623.789480516626
QTUM-XRP,279.2525731969062,138,0,10558.759318861385,11063.81011530705
DCR-ETC,176.7496151200005,134,0,9126.545260069455,8346.254139929542
DOGE-DGB,559.9275565159282,158,0,11293.59893747568,20640.602666596766
STEEM-ETH,288.18531448225855,118,0,8812.818427255144,11095.727981025859
GNO-LTC,282.57948694897493,122,0,6029.841372227607,12321.271028147232
ETH-GNO,322.3897352222631,77,77,6773.596587125854,20935.75856553951
GNO-BAT,356.0423637083124,160,0,8643.735352969952,11530.66507410464
LSK-GBYTE,176.34123439457616,154,0,7841.363368143035,11565.233776545214
NEO-BAT,153.7247538453924,132,0,19493.701190812408,7241.542683337587
ETC-SC,174.86212222760471,148,0,6408.455696167382,6734.268897086919
OMG-GNT,316.98860223108204,172,0,17583.744786900104,16804.89751889934
BAT-XRP,229.889893089063,128,0,14903.261108033465,9721.290150967685
LSK-WAVES,267.6252005504736,168,0,9515.313289064105,9435.546663888003
SNT-LTC,737.8023416551079,152,0,8655.036956609807,42002.117012180606
QTUM-FCT,287.31080470739346,182,0,4910.806383695122,13340.60365668632
SNT-FCT,753.0769601396179,198,0,4782.929257403297,55485.73108504077
LTC-SC,144.03545663752752,144,0,8559.605917946308,4560.726748004394
ETH-XMR,385.0695664211319,82,82,14455.212965932948,28945.769382071245
XMR-DOGE,560.3470277648855,156,0,13398.640292258691,19962.316818088402
GNT-SC,161.83937241705686,162,0,6536.845649582024,5222.852705877867
DASH-XLM,238.9944301998345,190,0,51583.864705678876,4758.533351938042
BAT-XLM,212.08077421451014,218,0,55963.29139715207,4463.812460899937
ETH-SC,119.20541987027774,83,83,9303.361132844551,7059.099919367958
BTC-GNO,154.11308483720188,66,66,8249.287650638993,16231.053606129293
DASH-SC,178.2650881694074,148,0,6794.073207215465,4336.484025495303
DCR-XRP,199.30128451003145,154,0,13053.540717808133,6790.615960747354
GNT-OMG,316.98860223108204,172,0,17583.744786900104,16804.89751889934
DASH-LTC,289.9710145420126,128,0,8747.989180600527,9017.778490604233
LSK-PIVX,302.53148432726135,160,0,9867.298893763487,8877.061839498467
GNT-LSK,238.8619555941994,166,0,10305.584809802041,10837.718121559847
XRP-XEM,131.6512423608851,106,0,9766.443151623766,9540.979661254045
SC-REP,141.72404384747324,164,0,7777.48476816836,5366.338606944548
NEO-SC,104.26702809862094,142,0,14925.891236685002,4020.2293988442807
ZEC-LTC,336.13340594207347,146,0,8368.170123247986,9654.051933798415
XRP-DOGE,351.2462039395305,154,0,11976.549668515107,12751.159199662701
LSK-OMG,207.52545959322416,158,0,21421.328242099342,13215.538684321848
XLM-XEM,131.53121913643776,184,0,50826.473440742375,4487.612568863477
QTUM-XMR,531.201748110111,172,0,11980.84994260496,18038.198829359862
WAVES-XLM,198.96216024524404,202,0,50536.3656273075,4719.597083622686
LSK-BTC,90.16663644070884,75,75,14547.791356577707,11035.624817459939
REP-ETH,170.4772244859675,75,75,10475.155956451666,16510.823053755215
XLM-SC,102.05134628544478,178,0,51395.481443024655,2327.179067914285
QTUM-ETH,196.8088594727202,78,78,9526.669297799875,13902.783084499675
FCT-BTC,124.15169333899756,79,79,8860.860470536245,16920.611995282197
XLM-LSK,148.3415457197663,208,0,55164.22060324468,4673.741673986762
PIVX-WAVES,337.7929672053575,150,0,5239.443917826312,8808.275706008737
XLM-XRP,187.90052088360864,164,0,55125.242652369474,5777.886006784882
WAVES-BAT,270.1096473336295,142,0,10314.384082971492,8321.222581006326
REP-ZEC,390.39358649421763,168,0,7586.048973470038,12335.739532534759
FCT-QTUM,287.31080470739346,182,0,4910.806383695122,13340.60365668632
DGB-STEEM,305.01955665209266,120,0,9161.95771727722,14792.153715287903
DCR-XMR,347.3566806325568,174,0,14475.63134155171,11073.382741634896
DGB-DCR,322.2242793792609,152,0,12370.5899867687,11734.74981398903
XLM-GBYTE,134.72359451039927,180,0,48862.41570638643,5830.375822963729
PIVX-BAT,317.7805827662605,158,0,10666.369687670876,7570.335655452267
ETH-XLM,119.27309225584466,85,85,54093.15263130797,7189.143766486062
GNO-XEM,283.29410852017963,150,0,3506.917396560254,12343.794511190757
LTC-GNO,282.57948694897493,122,0,6029.841372227607,12321.271028147232
ZEC-OMG,392.75830274792395,170,0,17461.153287181005,14366.315114837156
DOGE-BAT,335.8785193790111,160,0,12814.598413297705,9135.866923624993
DOGE-ETC,404.21851756616826,160,0,8049.554210776433,15498.109645705516
GBYTE-SC,92.78741233534414,122,0,4072.6242079230174,5505.870842346827
WAVES-GNT,384.7014463997173,172,0,5677.729833864863,12277.378364591525
SC-GBYTE,92.78741233534414,122,0,4072.6242079230174,5505.870842346827
XMR-ETC,534.2239249808165,150,0,11560.307529255777,27527.29211103396
NEO-DGB,307.5963197506817,130,0,17972.701714990384,17597.86879379433
BTC-SC,49.99737978019065,61,61,10779.052196357692,5193.954165349132
LTC-WAVES,264.6717048281579,146,0,7700.490102229148,9254.514763390081
XEM-DASH,187.98073606587693,126,0,6225.065204933174,7881.936798476698
DASH-FCT,256.38540924727386,148,0,4875.881481394018,12456.208513432994
DCR-OMG,195.41837697165124,164,0,20370.678645781398,8653.683444529303
