portfolio,total_fees,taxes_owed,num_trades,num_trades_saved,end_price_HODL,end_price_rebalanced
ZCL-DOPE-DOGE-BYC-SBD-XVG-SYS-PIVX,4005.8482362760897,49657.979273051096,1396,0,44430.43248849563,127051.638746118
EXP-BSD-IOP-DGB-TX-FLO-OK-SLR,1657.8041595828665,22445.679080450376,1340,0,12653.281754207328,47271.439330457346
OK-DMD-BSD-XLM-EMC-XCP-RBY-STRAT,1908.0771463815788,27391.919598828616,1308,0,19241.793310679073,61842.46283489863
ERC-PIVX-AUR-EGC-NXT-DOPE-EMC-ETH,1627.039090586862,24698.30838312518,1148,0,18161.52704655999,60338.18387234531
PTC-EBST-AEON-XST-BYC-BSD-DCR-RDD,4170.575642243345,56128.93503600542,1422,0,26826.38010742123,143685.29481984564
DGB-DOPE-EFL-ETH-ETC-EMC-NEOS-EXCL,1288.6603933368922,18959.04160409923,1169,31,16505.822155277987,48342.228410119074
IOC-ERC-BCY-BYC-PIVX-DOGE-IOP-CLOAK,1283.0443568544413,15952.372214360123,1222,0,20321.171874975127,40756.36557995477
BRK-SEQ-DCR-CLOAK-ETC-IOC-EMC-BURST,1624.3047394703935,20664.567851693257,1266,0,24552.12755018739,56837.1922647264
BSD-ETC-NXT-EGC-STEEM-VRM-RDD-PTC,1808.249580164684,27899.829289221452,1210,0,18477.37833860124,60181.29032514675
DASH-DCR-BYC-EFL-GRS-NXS-DOPE-EBST,4893.560271728435,65355.90323516454,1422,0,48235.52161070859,184920.69945458494
DCR-EMC-SYS-PPC-NXS-SBD-CURE-EFL,1205.922957389447,16320.42973342066,1202,0,17380.10563432261,48882.318407352446
XLM-EMC-NXS-BTC-IOP-DASH-XMR-NAV,1299.6782527840464,23745.82344304637,1042,112,21816.54499098636,58684.29916437935
RVR-EXCL-SLR-WAVES-DOPE-SBD-STEEM-RBY,1849.2327723235662,24768.283097052128,1240,0,14372.277841252511,53508.15335531745
VRM-SPR-EFL-EXP-WAVES-CLAM-SLR-NEOS,958.4486742813262,11496.482271304629,1158,0,9048.848186381332,25025.120210871617
EFL-FLO-REP-XMR-BURST-ZCL-EXCL-SLR,1628.468346643094,21501.903460206464,1290,0,16969.38645726376,58699.44196619012
SYS-BCY-SEQ-LSK-OK-DOGE-STRAT-SHIFT,1307.822470967328,18283.059876083928,1158,0,21209.895260985184,42948.06811290423
ETH-SBD-XMR-VRM-REP-LSK-ERC-PIVX,1263.5216508866872,20049.21271978109,1040,16,21662.0023692257,51473.27190544739
SYS-ERC-XVG-NXS-RBY-POT-DOPE-XCP,2623.573358554776,35268.69766751892,1348,0,43597.44191282998,84401.63847736028
GRC-SBD-XCP-XMG-ENRG-ZEC-ABY-BYC,1105.2293162917545,13539.278675361415,1170,0,10528.373870338786,31466.181766858426
SYS-DOPE-DMD-NEO-XVG-PIVX-ETH-EMC,4273.957324419468,66892.0089787496,1313,11,92926.6518802841,164667.51146559344
LBC-LSK-ERC-BLK-CLOAK-SLR-ETC-EXCL,1309.4974140482532,18842.694029666654,1124,0,25664.03013228625,46583.26056792947
CLOAK-DASH-EGC-VTC-XST-IOC-SEQ-ERC,3200.020852067405,44792.728062519214,1294,0,31372.113148733442,100973.65563051461
EXCL-ABY-EXP-CLOAK-BTC-IOC-ETH-RBY,1236.706112820974,17830.752987365064,1061,99,21624.366155417738,42844.383657822975
XMR-BRK-DOGE-ETH-LTC-RDD-BLK-STEEM,878.8818290434859,14484.292855182175,987,13,18817.82341049295,39705.51465917754
AUR-SLR-LTC-IOP-VIA-DGB-SEQ-RBY,1384.6469300845579,18997.12598440318,1234,0,16139.829008809254,44643.903756595726
VTC-SPR-REP-BRK-LBC-BYC-DGB-NLG,1229.0129020613242,14230.419733653496,1260,0,14705.011487017846,36706.92984540357
AEON-EMC-EGC-LBC-CURE-DGB-VRM-ERC,1966.1462873593102,27178.546575712524,1342,0,16711.788194366236,62833.58964734633
SEQ-OK-ENRG-VRM-XMY-DOPE-STRAT-IOC,3061.1055427545816,40278.48233599727,1354,0,16664.725566535566,68693.15898627386
BLK-PPC-EXCL-XVG-DOGE-SYS-ZCL-RBY,2244.7173402648273,31775.630810136776,1332,0,42133.17694697152,80319.1250929413
GRS-LTC-NEO-REP-NXS-PPC-EBST-LBC,4342.887115864348,60377.19896110033,1398,0,90016.30179477711,169350.6332551897
NEOS-OK-BTC-EMC-SLR-WAVES-NLG-AMP,839.119115302891,12552.970735782912,1053,103,13176.332236627779,29430.60838093162
BTC-WAVES-ABY-BCY-EXP-VRM-PIVX-SBD,841.9950780647092,12622.870964027967,957,97,11269.060457743386,28192.36640364548
BSD-VTC-CLAM-CLOAK-GRC-BLK-SEQ-NLG,1278.959527194031,18069.76985016455,1126,0,23481.238830106508,42594.0355975917
BLK-ETC-PIVX-STEEM-ZEC-GRC-PPC-FLO,406.9099033928604,5444.017615985689,944,0,10400.603037527217,17969.11234311574
